term,has_definition,has_taxonomy,term_only_uri_presence,uri_only_sources,definitions_and_fallback_hierarchy,definitions_count,taxonomy_paths_count,sources,sources_count,embedding_text,sssom_source_pairs,semantically_similar_terms,initial_category,recommended_action,category_rationale,candidate_merged_definition_draft,term_norm,definitions_text_norm,sources_list,strong_hits,weak_hits,farfield_hits,admin_hits,heliophysics_source_hits,category_priority,evidence_strength,relevance_score,workshop_priority_score,exclude_farfield,exclude_low_relevance,manual_include,manual_exclude,selected_for_ranking
ecological corridor,True,False,False,,"GEMET: A corridor as a narrow, linear (or near-linear) piece of habitat that connects two larger patches of habitat that are surrounded by a nonhabitat matrix, thereby facilitating movements of animals and dispersal of plants and other organsisms.",1,0,GEMET,1,"GEMET: A corridor as a narrow, linear (or near-linear) piece of habitat that connects two larger patches of habitat that are surrounded by a nonhabitat matrix, thereby facilitating movements of animals and dispersal of plants and other organsisms.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,ecological corridor,"gemet: a corridor as a narrow, linear (or near-linear) piece of habitat that connects two larger patches of habitat that are surrounded by a nonhabitat matrix, thereby facilitating movements of animals and dispersal of plants and other organsisms.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
ecological dynamics,True,False,False,,GCMD: Describes coupled dynamics of human-ecological systems,1,0,GCMD,1,GCMD: Describes coupled dynamics of human-ecological systems,,natural dynamics (0.33) | system dynamics (0.32),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,ecological dynamics,gcmd: describes coupled dynamics of human-ecological systems,['gcmd'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
ecological inequality,True,False,False,,"GEMET: Any imbalance or disparity among inhabitants of the same living environment deemed inappropriate, unjust or detrimental to that environment's integrity.",1,0,GEMET,1,"GEMET: Any imbalance or disparity among inhabitants of the same living environment deemed inappropriate, unjust or detrimental to that environment's integrity.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,ecological inequality,"gemet: any imbalance or disparity among inhabitants of the same living environment deemed inappropriate, unjust or detrimental to that environment's integrity.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
ecological resilience,True,False,False,,"GEMET: ability of an ecological or socio-ecological system and its components to anticipate, reduce, accommodate, or recover from the effects of a hazardous event or trend in a timely and efficient manner",1,0,GEMET,1,"GEMET: ability of an ecological or socio-ecological system and its components to anticipate, reduce, accommodate, or recover from the effects of a hazardous event or trend in a timely and efficient manner",,resilience (0.45),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,ecological resilience,"gemet: ability of an ecological or socio-ecological system and its components to anticipate, reduce, accommodate, or recover from the effects of a hazardous event or trend in a timely and efficient manner",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
ecologically sensitive area,True,False,False,,GEMET: Area where it is likely that a change in some parts of the system will produce a recognizable response.,1,0,GEMET,1,GEMET: Area where it is likely that a change in some parts of the system will produce a recognizable response.,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,ecologically sensitive area,gemet: area where it is likely that a change in some parts of the system will produce a recognizable response.,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
ecomuseum,True,False,False,,"GEMET: A private, non-profit facility where plants and animals can be viewed in a natural outdoor setting.",1,0,GEMET,1,"GEMET: A private, non-profit facility where plants and animals can be viewed in a natural outdoor setting.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,ecomuseum,"gemet: a private, non-profit facility where plants and animals can be viewed in a natural outdoor setting.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
economic data,False,True,False,,GEMET: environmental data -> economic data,0,1,GEMET,1,GEMET hierarchy: environmental data -> economic data,,monitoring data (0.75) | statistical data (0.74) | data on the state of the environment (0.71) | per capita data (0.67) | geo-referenced data (0.61) | public attendance (0.57) | data customization (0.53) | tourist attendance (0.53),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,economic data,gemet: environmental data -> economic data,['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
economic resilience,True,False,False,,GEMET: Ability of an economy to withstand or recover from the effects of exogeneous shocks,1,0,GEMET,1,GEMET: Ability of an economy to withstand or recover from the effects of exogeneous shocks,,climate resilience (0.30),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,economic resilience,gemet: ability of an economy to withstand or recover from the effects of exogeneous shocks,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
economic viability,True,False,False,,"GEMET: Capability of developing and surviving as a relatively independent social, economic or political unit.",1,0,GEMET,1,"GEMET: Capability of developing and surviving as a relatively independent social, economic or political unit.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,economic viability,"gemet: capability of developing and surviving as a relatively independent social, economic or political unit.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
"economics, finance",False,True,False,,"GEMET: ECONOMICS, FINANCE",0,1,GEMET,1,"GEMET hierarchy: ECONOMICS, FINANCE",,housing finance (0.41) | ode - oxford (paperback reference): a dictionary of economics (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,"economics, finance","gemet: economics, finance",['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
ecotype,True,False,False,,GEMET: Species that has special characteristics which allow it to live in a certain habitat.,1,0,GEMET,1,GEMET: Species that has special characteristics which allow it to live in a certain habitat.,,aquatic organism (0.34) | marine fauna (0.32) | soil organism (0.32) | marine organism (0.30),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,ecotype,gemet: species that has special characteristics which allow it to live in a certain habitat.,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
edible fat,True,False,False,,GEMET: An oil that can be eaten as a food or food accessory.,1,0,GEMET,1,GEMET: An oil that can be eaten as a food or food accessory.,,food-web dynamics (0.42) | food contamination (0.41) | foodstuff (0.40) | food commerce (0.35) | food waste (0.34) | staple food (0.32) | accessory lists (0.32) | food storage (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,edible fat,gemet: an oil that can be eaten as a food or food accessory.,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
effect on man,False,True,False,,GEMET: effect -> effect on man,0,1,GEMET,1,GEMET hierarchy: effect -> effect on man,,noise effect (0.78) | microclimate effect (0.74) | effect on health (0.71) | antagonistic effect of toxic substances (0.68) | long-term effect of pollutants (0.63) | drug abuse (0.54) | side effects of pharmaceutical drugs (0.50) | psychological effect (0.49),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,effect on man,gemet: effect -> effect on man,['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
"effects, impacts",False,True,False,,"GEMET: EFFECTS, IMPACTS",0,1,GEMET,1,"GEMET hierarchy: EFFECTS, IMPACTS",,"human activities and products, effects on the environment (0.37) | vulnerability assessment (0.35) | effectiveness evaluation (0.35) | biological effect of pollution (0.31)",Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,"effects, impacts","gemet: effects, impacts",['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
efficiency level,True,False,False,,"GEMET: The ratio of output to input, usually given as a percentage.",1,0,GEMET,1,"GEMET: The ratio of output to input, usually given as a percentage.",,crop water productivity (0.54) | improvement of efficiency (0.36) | agricultural product (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,efficiency level,"gemet: the ratio of output to input, usually given as a percentage.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
egg,True,False,False,,"GEMET: A large, female sex cell enclosed in a porous, calcareous or leathery shell, produced by birds and reptiles.",1,0,GEMET,1,"GEMET: A large, female sex cell enclosed in a porous, calcareous or leathery shell, produced by birds and reptiles.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,egg,"gemet: a large, female sex cell enclosed in a porous, calcareous or leathery shell, produced by birds and reptiles.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
eia law,True,False,False,,"GEMET: Law concerning the assessment of the effects of certain public and private projects on the environment, based on the EC Directive n. 85/337.",1,0,GEMET,1,"GEMET: Law concerning the assessment of the effects of certain public and private projects on the environment, based on the EC Directive n. 85/337.",,eia directive (0.63) | water protection directive (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,eia law,"gemet: law concerning the assessment of the effects of certain public and private projects on the environment, based on the ec directive n. 85/337.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
elderly person,True,False,False,,GEMET: Someone who has reached the later stage of life or who has attained a specified age within that stage.,1,0,GEMET,1,GEMET: Someone who has reached the later stage of life or who has attained a specified age within that stage.,,adult (0.32),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,elderly person,gemet: someone who has reached the later stage of life or who has attained a specified age within that stage.,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
electric current,True,False,False,,SWEET: electric current,1,0,SWEET,1,SWEET: electric current,,current time (0.65) | electric dipole (0.57) | current sheet (0.55) | telluric current (0.45) | electric field (0.38) | magnetopause current sheet (0.37) | electrokinetics (0.36) | electrical industry (0.35),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,electric current,sweet: electric current,['sweet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
electric dipole,True,False,False,,SWEET: electric dipole,1,0,SWEET,1,SWEET: electric dipole,,dipole (0.75) | magnetic dipole (0.68) | electric current (0.57) | electric field (0.34) | electrokinetics (0.33) | electrical industry (0.32),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,electric dipole,sweet: electric dipole,['sweet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
electric field strength,False,True,False,,HELIO Ontology: ElectricFieldStrength -> electric field strength,0,1,HELIO Ontology,1,HELIO Ontology hierarchy: ElectricFieldStrength -> electric field strength,,magnetic field strength (0.45) | magnetometer (0.32) | ac electric field (0.32) | max mag field strength (0.31) | electric field (0.30),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,electric field strength,helio ontology: electricfieldstrength -> electric field strength,['helio ontology'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
electric power,True,False,False,,"GEMET: The rate at which electric energy is converted to other forms of energy, equal to the product of the current and the voltage drop.",1,0,GEMET,1,"GEMET: The rate at which electric energy is converted to other forms of energy, equal to the product of the current and the voltage drop.",,electricity generation (0.43) | solar energy production/use (0.38) | electrical industry (0.34) | energy type (0.32) | heat (physics) (0.31) | wave energy production/use (0.31) | electric battery (0.31) | electric current (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,electric power,"gemet: the rate at which electric energy is converted to other forms of energy, equal to the product of the current and the voltage drop.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
electric power supply,True,False,False,,"GEMET: zakład energetyczny przetwarzający różne rodzaje energii (hydrauliczna, pary wodnej, chemiczna lub jądrowa) na prąd elektryczny",1,0,GEMET,1,"GEMET: zakład energetyczny przetwarzający różne rodzaje energii (hydrauliczna, pary wodnej, chemiczna lub jądrowa) na prąd elektryczny",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,electric power supply,"gemet: zakład energetyczny przetwarzający różne rodzaje energii (hydrauliczna, pary wodnej, chemiczna lub jądrowa) na prąd elektryczny",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
electric vehicle,True,False,False,,GEMET: Vehicle driven by an electric motor and characterized by being silent and less polluting.,1,0,GEMET,1,GEMET: Vehicle driven by an electric motor and characterized by being silent and less polluting.,,motor vehicle (0.35) | motorcycle (0.34),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,electric vehicle,gemet: vehicle driven by an electric motor and characterized by being silent and less polluting.,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
electrical goods industry,True,False,False,,GEMET: Economic activity for manufacturing electric material and devices.,1,0,GEMET,1,GEMET: Economic activity for manufacturing electric material and devices.,,instrument manufacture (0.33),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,electrical goods industry,gemet: economic activity for manufacturing electric material and devices.,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
electrical intensity,True,False,False,,GCMD: The ratio of the electrostatic force exerted on a body to the charge on the body.,1,0,GCMD,1,GCMD: The ratio of the electrostatic force exerted on a body to the charge on the body.,,water pressure (0.35) | electrical field (0.35) | pressure (0.35) | ocean pressure (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,electrical intensity,gcmd: the ratio of the electrostatic force exerted on a body to the charge on the body.,['gcmd'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
electrical storage device,False,True,False,,GEMET: equipment -> electrical storage device,0,1,GEMET,1,GEMET hierarchy: equipment -> electrical storage device,,device (0.40) | domestic appliance (0.36) | industrial installation (0.35) | measuring instrument (0.34) | new installation (0.33),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,electrical storage device,gemet: equipment -> electrical storage device,['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
electrode collector,False,True,False,,HELIO Ontology: ElectrodeCollector -> electrode collector,0,1,HELIO Ontology,1,HELIO Ontology hierarchy: ElectrodeCollector -> electrode collector,,multi collector mass spectrometer (0.35),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,electrode collector,helio ontology: electrodecollector -> electrode collector,['helio ontology'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
electrotechnical equipment,True,False,False,,GEMET: All the equipment connected with the technological use of electric power.,1,0,GEMET,1,GEMET: All the equipment connected with the technological use of electric power.,,technological development (0.39) | electricity (0.36) | electricity supply industry (0.33) | electric line (0.33) | technological process (0.33),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,electrotechnical equipment,gemet: all the equipment connected with the technological use of electric power.,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
element of group 0,True,False,False,,"GEMET: A group of monatomic gaseous elements forming group 18 (formerly group 0) of the periodic table: helium (He), neon (Ne), argon (Ar), krypton (Kr), xenon (Xe), and radon (Rn).",1,0,GEMET,1,"GEMET: A group of monatomic gaseous elements forming group 18 (formerly group 0) of the periodic table: helium (He), neon (Ne), argon (Ar), krypton (Kr), xenon (Xe), and radon (Rn).",,noble gas (0.42),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,element of group 0,"gemet: a group of monatomic gaseous elements forming group 18 (formerly group 0) of the periodic table: helium (he), neon (ne), argon (ar), krypton (kr), xenon (xe), and radon (rn).",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
element of group i (alkaline),True,False,False,,"GEMET: Any of the monovalent metals lithium, sodium, potassium, rubidium, caesium, and francium, belonging to group 1A of the periodic table. They are all very reactive and electropositive.",1,0,GEMET,1,"GEMET: Any of the monovalent metals lithium, sodium, potassium, rubidium, caesium, and francium, belonging to group 1A of the periodic table. They are all very reactive and electropositive.",,element of group ii (alkaline earth metals) (0.33),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,element of group i (alkaline),"gemet: any of the monovalent metals lithium, sodium, potassium, rubidium, caesium, and francium, belonging to group 1a of the periodic table. they are all very reactive and electropositive.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
element of group ii (alkaline earth metals),True,False,False,,"GEMET: Any of the divalent electropositive metals beryllium, magnesium, calcium, strontium, barium, and radium, belonging to group 2A of the periodic table.",1,0,GEMET,1,"GEMET: Any of the divalent electropositive metals beryllium, magnesium, calcium, strontium, barium, and radium, belonging to group 2A of the periodic table.",,element of group i (alkaline) (0.33),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,element of group ii (alkaline earth metals),"gemet: any of the divalent electropositive metals beryllium, magnesium, calcium, strontium, barium, and radium, belonging to group 2a of the periodic table.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
element of group iii,True,False,False,,"GEMET: Group III consists of two subgroups: group IIIb and group IIIa. Group IIIa consists of scandium, yttrium, and lanthanium, which is generally considered with the lanthanoids, and actinium, which is classified with the actinoids. Group IIIb, the main group, comprises boron, aluminium, gallium, indium, and thallium.",1,0,GEMET,1,"GEMET: Group III consists of two subgroups: group IIIb and group IIIa. Group IIIa consists of scandium, yttrium, and lanthanium, which is generally considered with the lanthanoids, and actinium, which is classified with the actinoids. Group IIIb, the main group, comprises boron, aluminium, gallium, indium, and thallium.",,element of group v (0.49) | element of group vi (0.47) | element of group iv (0.47),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,element of group iii,"gemet: group iii consists of two subgroups: group iiib and group iiia. group iiia consists of scandium, yttrium, and lanthanium, which is generally considered with the lanthanoids, and actinium, which is classified with the actinoids. group iiib, the main group, comprises boron, aluminium, gallium, indium, and thallium.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
element of group vi,True,False,False,,"GEMET: Group VI consists of two subgroups: group VIb, the main group, and group VIa. Group VIa consists of chromium, molybdenum, and tungsten. The main group consists of oxygen, sulphur, selenium, tellurium, and polonium.",1,0,GEMET,1,"GEMET: Group VI consists of two subgroups: group VIb, the main group, and group VIa. Group VIa consists of chromium, molybdenum, and tungsten. The main group consists of oxygen, sulphur, selenium, tellurium, and polonium.",,element of group v (0.58) | element of group iv (0.56) | element of group iii (0.47),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,element of group vi,"gemet: group vi consists of two subgroups: group vib, the main group, and group via. group via consists of chromium, molybdenum, and tungsten. the main group consists of oxygen, sulphur, selenium, tellurium, and polonium.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
element of group vii,True,False,False,,"GEMET: Any of the elements of the halogen family, consisting of fluorine, chlorine, bromine, iodine, and astatine.",1,0,GEMET,1,"GEMET: Any of the elements of the halogen family, consisting of fluorine, chlorine, bromine, iodine, and astatine.",,halogenated pollutant (0.61) | halocarbons and halogens (0.34),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,element of group vii,"gemet: any of the elements of the halogen family, consisting of fluorine, chlorine, bromine, iodine, and astatine.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
elephants,True,False,False,,"GCMD: Phylum Chordata. Class Mammalia. Order Proboscidea. Largest land mammal with long proboscis, incisors that grow into tusks, large ear flaps",1,0,GCMD,1,"GCMD: Phylum Chordata. Class Mammalia. Order Proboscidea. Largest land mammal with long proboscis, incisors that grow into tusks, large ear flaps",,seals/sea lions/walruses (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,elephants,"gcmd: phylum chordata. class mammalia. order proboscidea. largest land mammal with long proboscis, incisors that grow into tusks, large ear flaps",['gcmd'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
ellipsoidal coordinate,False,True,False,,HELIO Ontology: EllipsoidalCoordinate -> ellipsoidal coordinate,0,1,HELIO Ontology,1,HELIO Ontology hierarchy: EllipsoidalCoordinate -> ellipsoidal coordinate,,coordinate (0.51),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,ellipsoidal coordinate,helio ontology: ellipsoidalcoordinate -> ellipsoidal coordinate,['helio ontology'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
embryo,True,False,False,,GEMET: An early stage of development in multicellular organisms.,1,0,GEMET,1,GEMET: An early stage of development in multicellular organisms.,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,embryo,gemet: an early stage of development in multicellular organisms.,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
emergence,True,False,False,,SWEET: emergence,1,0,SWEET,1,SWEET: emergence,,ef_pos peak flux onset rate (0.42) | ef_neg peak flux onset rate (0.41) | ef_onset rate unit (0.39),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,emergence,sweet: emergence,['sweet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
emergency law,False,True,False,,GEMET: law (corpus of rules) -> emergency law,0,1,GEMET,1,GEMET hierarchy: law (corpus of rules) -> emergency law,,financial law (0.81) | data processing law (0.79) | implementation law (0.76) | regulative law (0.75) | forage law (0.68) | fertiliser law (0.68) | dangerous goods law (0.68) | community act (0.68),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,emergency law,gemet: law (corpus of rules) -> emergency law,['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
emergency lodging,True,False,False,,"GEMET: Housing or dwelling space provided for victims of a sudden, urgent and usually unexpected occurrence, especially when harm has been done to human life, property or the environment.",1,0,GEMET,1,"GEMET: Housing or dwelling space provided for victims of a sudden, urgent and usually unexpected occurrence, especially when harm has been done to human life, property or the environment.",,emergency plan (0.51) | emergency relief (0.47) | accident (0.36) | accident source (0.35) | major accident (0.32),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,emergency lodging,"gemet: housing or dwelling space provided for victims of a sudden, urgent and usually unexpected occurrence, especially when harm has been done to human life, property or the environment.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
emergency relief measure,False,True,False,,GEMET: safety -> safety measure -> emergency relief -> emergency relief measure,0,1,GEMET,1,GEMET hierarchy: safety -> safety measure -> emergency relief -> emergency relief measure,,"risks, safety (0.37) | public emergency limit (0.35)",Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,emergency relief measure,gemet: safety -> safety measure -> emergency relief -> emergency relief measure,['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
emergency shelter,True,False,False,,GEMET: Shelter given to persons who are deprived of the essential needs of life following a disaster.,1,0,GEMET,1,GEMET: Shelter given to persons who are deprived of the essential needs of life following a disaster.,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,emergency shelter,gemet: shelter given to persons who are deprived of the essential needs of life following a disaster.,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
emergent,True,False,False,,SWEET: emergent,1,0,SWEET,1,SWEET: emergent,,emergent phenomenon (0.82),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,emergent,sweet: emergent,['sweet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
emergent phenomenon,True,False,False,,SWEET: emergent phenomenon,1,0,SWEET,1,SWEET: emergent phenomenon,,emergent (0.82) | phenomenon (0.42) | seismic activity (0.35),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,emergent phenomenon,sweet: emergent phenomenon,['sweet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
encyclopaedia,True,False,False,,"GEMET: A comprehensive, often multivolume, reference work containing articles on a wide rage of subjects or on various aspects of a particular field, usually, alphabetically arranged.",1,0,GEMET,1,"GEMET: A comprehensive, often multivolume, reference work containing articles on a wide rage of subjects or on various aspects of a particular field, usually, alphabetically arranged.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,encyclopaedia,"gemet: a comprehensive, often multivolume, reference work containing articles on a wide rage of subjects or on various aspects of a particular field, usually, alphabetically arranged.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
end time,True,True,False,,SWEET: end time,1,1,HELIO Ontology | SWEET,2,SWEET: end time,HELIO Ontology <-> SWEET,time range (0.52) | time period (0.51) | current time (0.50) | time end field (0.47) | time interval (0.45) | geologic time (0.44) | start time (0.43) | time end m field (0.43),Category 3 — Conflicting,Flag for structured analysis,"Different conceptual boundaries/scope detected (mean=0.71, min=0.71, distinct_superclasses=2)",,end time,sweet: end time,"['helio ontology', 'sweet']",0,0,0,0,0,4.0,1.3523145537608112,0.0,0.35369398172009836,False,True,False,False,False
endocrine system,True,False,False,,"GEMET: The chemical coordinating system in animals, that is, the endocrine glands that produce hormones.",1,0,GEMET,1,"GEMET: The chemical coordinating system in animals, that is, the endocrine glands that produce hormones.",,endocrinology (0.55),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,endocrine system,"gemet: the chemical coordinating system in animals, that is, the endocrine glands that produce hormones.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
endocrinology,True,False,False,,GEMET: The study of the endocrine glands and the hormones that they synthesize and secrete.,1,0,GEMET,1,GEMET: The study of the endocrine glands and the hormones that they synthesize and secrete.,,endocrine system (0.55),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,endocrinology,gemet: the study of the endocrine glands and the hormones that they synthesize and secrete.,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
endorheic basin,True,False,False,,GCMD: A closed drainage basin that retains water and allows no outflow to other bodies of water such as rivers or oceans.,1,0,GCMD,1,GCMD: A closed drainage basin that retains water and allows no outflow to other bodies of water such as rivers or oceans.,,endorheric basin (1.00) | hydrographic basin (0.33),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,endorheic basin,gcmd: a closed drainage basin that retains water and allows no outflow to other bodies of water such as rivers or oceans.,['gcmd'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
