term,definitions,hierarchy_paths,sources
matr,[],['SWEET -> matr'],['SWEET']
matr aerosol,[],['SWEET -> matrAerosol'],['SWEET']
matr animal,[],['SWEET -> matrAnimal'],['SWEET']
matr biomass,[],['SWEET -> matrBiomass'],['SWEET']
matr element,[],['SWEET -> matrElement'],['SWEET']
matr elemental molecule,[],['SWEET -> matrElementalMolecule'],['SWEET']
matr energy,[],['SWEET -> matrEnergy'],['SWEET']
matr equipment,[],['SWEET -> matrEquipment'],['SWEET']
matr facility,[],['SWEET -> matrFacility'],['SWEET']
matr industrial,[],['SWEET -> matrIndustrial'],['SWEET']
matr instrument,[],['SWEET -> matrInstrument'],['SWEET']
matr ion,[],['SWEET -> matrIon'],['SWEET']
matr isotope,[],['SWEET -> matrIsotope'],['SWEET']
matr microbiota,[],['SWEET -> matrMicrobiota'],['SWEET']
matr mineral,[],['SWEET -> matrMineral'],['SWEET']
matr natural resource,[],['SWEET -> matrNaturalResource'],['SWEET']
matr organic compound,[],['SWEET -> matrOrganicCompound'],['SWEET']
matr particle,[],['SWEET -> matrParticle'],['SWEET']
matr plant,[],['SWEET -> matrPlant'],['SWEET']
matr rock,[],['SWEET -> matrRock'],['SWEET']
matr rock igneous,[],['SWEET -> matrRockIgneous'],['SWEET']
matr sediment,[],['SWEET -> matrSediment'],['SWEET']
matr water,[],['SWEET -> matrWater'],['SWEET']
mattauch herzog small volume mass spectrometer,[],['MattauchHerzogSmallVolumeMassSpectrometer -> mattauch herzog small volume mass spectrometer'],['HELIO Ontology']
maunder minimum,"['An approximately 70-year period, centered near 1670, during which practically no sunspots were observed.']",['Maunder minimum'],['Space Weather Glossary']
max mag field strength,['Maximum magnetic field strength'],['MaxMagFieldStrength -> max mag field strength'],['Heliophysics Events Knowledgebase']
max mag field strength unit,"[""Units for maximum magnetic field strength (e.g. 'G' or 'Mx/cm2')""]",['MaxMagFieldStrengthUnit -> max mag field strength unit'],['Heliophysics Events Knowledgebase']
maximum,['The largest value of a batch or sample or theupper bound of a probability distribution.'],['Maximum'],['SPASE Dictionary']
maximum 1-minute sustained wind,"[""The standard measure of a tropical cyclone's intensity. When the term is applied to a particular weather system, it refers to the highest one-minute average wind (at an elevation of 10 meters with an unobstructed exposure) associated with that weather system at a particular point in time.""]",['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> TROPICAL CYCLONES -> MAXIMUM 1-MINUTE SUSTAINED WIND'],['GCMD']
maximum admissible concentration,['The maximum exposure to a physical or chemical agent allowed in an 8-hour work day to prevent disease or injury.'],['parameter -> maximum admissible concentration'],['GEMET']
maximum immission concentration,"['The maximum concentration of air polluting substances in the free environment whose impact when of specified duration and frequency is not objectionable to man, fauna and flora.']",['parameter -> maximum immission concentration'],['GEMET']
maximum surface wind,"[""Maximum wind recorded from a tropical cyclone at the Earth's surface.""]",['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> TROPICAL CYCLONES -> MAXIMUM SURFACE WIND'],['GCMD']
maximum usable frequency,['The highest frequency that allows reliable HF radio communication over a given ground range by ionospheric refraction. Frequencies higher than the MUF penetrate the ionosphere and become useful for extraterrestrial communications.'],['maximum usable frequency'],['Space Weather Glossary']
maximum useable frequency,[],['Maximum Useable frequency'],['Space Weather Glossary (Second)']
maximum wind gust,['Maximum wind gust recorded from a tropical cyclone.'],['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> TROPICAL CYCLONES -> MAXIMUM WIND GUST'],['GCMD']
maximum/minimum temperature,['Highest/Lowest air temperature attained during a specific time interval; usually 24 hours.'],['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC TEMPERATURE -> SURFACE TEMPERATURE -> MAXIMUM/MINIMUM TEMPERATURE'],['GCMD']
mc ilwain coordinate system,[],['McIlwainCoordinateSystem -> mc ilwain coordinate system'],['HELIO Ontology']
md5,['Message Digest 5 (MD5) is a 128-bit messagedigest algorithm created in 1991 by Professor Ronald Rivest.'],['MD5'],['SPASE Dictionary']
meadow,"['Strictly a term for a field of permanent grass used for hay, but also applied to rich, waterside grazing areas that are not suitable for arable cultivation.']",['land -> natural area -> terrestrial area -> grassland -> meadow'],['GEMET']
mean current helicity,['Mean current helicity'],['MeanCurrentHelicity -> mean current helicity'],['Heliophysics Events Knowledgebase']
mean dynamic topography,"[""The mean dynamic topography (MDT) is the height of the time-mean sea surface above the geoid. Its slope reveals the magnitude and direction of ocean surface geostrophic currents; hence, it is a surface representation of the ocean's mean circulation.""]",['EARTH SCIENCE -> OCEANS -> SEA SURFACE TOPOGRAPHY -> DYNAMIC TOPOGRAPHY -> MEAN DYNAMIC TOPOGRAPHY'],['GCMD']
mean energy density unit,"[""Energy Density unit (e.g. 'erg/(cm^3)')""]",['MeanEnergyDensityUnit -> mean energy density unit'],['Heliophysics Events Knowledgebase']
mean gradient horz,['Mean value of the horizontal field gradient'],['MeanGradientHorz -> mean gradient horz'],['Heliophysics Events Knowledgebase']
mean gradient total,['Mean value of the total field gradient'],['MeanGradientTotal -> mean gradient total'],['Heliophysics Events Knowledgebase']
mean gradient vert,['Mean value of the vertical field gradient'],['MeanGradientVert -> mean gradient vert'],['Heliophysics Events Knowledgebase']
mean inclination gamma,['Mean inclination angle (gamma) (degrees)'],['MeanInclinationGamma -> mean inclination gamma'],['Heliophysics Events Knowledgebase']
mean photo energy density,['Mean photospheric excess magnetic energy density'],['MeanPhotoEnergyDensity -> mean photo energy density'],['Heliophysics Events Knowledgebase']
mean radial velocity,"['Also known as the mean Doppler velocity, the mean motion along the radial beam.']",['EARTH SCIENCE -> SPECTRAL/ENGINEERING -> RADAR -> MEAN RADIAL VELOCITY'],['GCMD']
mean sea level,"[""An average level of the surface of one or more of Earth's bodies of water from which heights such as elevation may be measured.""]",['EARTH SCIENCE -> OCEANS -> SEA SURFACE TOPOGRAPHY -> SEA LEVEL -> MEAN SEA LEVEL'],['GCMD']
mean sea surface,['The mean sea surface is the displacement of the sea surface relative to a mathematical model of the earth and it closely follows the geoid.'],['EARTH SCIENCE -> OCEANS -> SEA SURFACE TOPOGRAPHY -> MEAN SEA SURFACE'],['GCMD']
mean shear angle,['Mean shear angle for B_total (degrees)'],['MeanShearAngle -> mean shear angle'],['Heliophysics Events Knowledgebase']
mean twist alpha,['Mean twist parameter (alpha)'],['MeanTwistAlpha -> mean twist alpha'],['Heliophysics Events Knowledgebase']
mean vert current density,['Mean vertical current density'],['MeanVertCurrentDensity -> mean vert current density'],['Heliophysics Events Knowledgebase']
meander,"['A bend in a river, also known as an oxbow loop. This usage derives from the name of the Maeander River in Turkey.']","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS -> MEANDER', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS -> MEANDER']",['GCMD']
means of agricultural production,[],['agriculture -> agricultural production -> means of agricultural production'],['GEMET']
means of communication,"['The agents, instruments, methods or resources used to impart or interchange thoughts, opinions or information.']",['information -> communication -> means of communication'],['GEMET']
measurement and standards,[],[],['AGU Index Terms']
measurement type,['A characterization of the quantitativeassessment of a phenomenon.'],['MeasurementType -> measurement type'],"['HELIO Ontology', 'SPASE Dictionary']"
measuring,['The ability of the analytical method or protocol to quantify as well as identify the presence of the substance in question.'],['methodology -> measuring'],['GEMET']
measuring instrument,[],['equipment -> measuring instrument'],['GEMET']
measuring method,[],['methodology -> method -> measuring method'],['GEMET']
measuring programme,[],['methodology -> measuring -> measuring programme | methodology -> method -> measuring method -> measuring programme'],['GEMET']
meat,"['The edible flesh of animals, especially that of mammals as opposed to that of fish or a nut.']",['product -> foodstuff -> meat'],['GEMET']
mechanical disturbance,"['Mechanical disturbances include forest clear-cutting, earth-moving, scraping, chaining, reservoir draw-down, and other similar human-induced changes.']",['EARTH SCIENCE -> HUMAN DIMENSIONS -> ENVIRONMENTAL IMPACTS -> MECHANICAL DISTURBANCE'],['GCMD']
mechanical engineering,"['The branch of engineering concerned with the design, construction, and operation of machines.']",['science -> applied science -> engineering -> mechanical engineering | science -> applied science -> materials science -> engineering -> mechanical engineering | science -> materials science -> engineering -> mechanical engineering'],['GEMET']
mechanical equipment,['Machines and tools employed in manual and mechanical labour.'],['equipment -> mechanical equipment'],['GEMET']
mechanical industry,"['A sector of the economy in which an aggregate of enterprises is engaged in the design, manufacture and marketing of mechanical apparatuses for commercial or industrial usage.']",['industry -> mechanical industry'],['GEMET']
mechanical vibration,"['A motion, usually unintentional and often undesirable, of parts of machines and structures.']",['vibration -> mechanical vibration'],['GEMET']
"mechanics, theory, and modeling",[],[],['AGU Index Terms']
media transfer/data rescue,"['Media Transfer/Data Rescue services are defined as Data Handling Services that physically transfer data from one media form to another (excluding archives), or serve to reconstruct or reconstitute data from deteriorating or unreadable media to accessible media. EXAMPLES: Magnetic Tape to CD-ROM. Book to Diskette.']",['EARTH SCIENCE SERVICES -> DATA MANAGEMENT/DATA HANDLING -> MEDIA TRANSFER/DATA RESCUE'],['GCMD']
medial moraine,['A ridge of moraine that runs down the center of a valley floor. It is formed when two glaciers meet and the debris on the edges of the adjacent valley sides join and are carried on top of the enlarged glacier.'],"['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> GLACIAL LANDFORMS -> MORAINES -> MEDIAL MORAINE', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> GLACIAL LANDFORMS -> MORAINES -> MEDIAL MORAINE']",['GCMD']
median,['The measure of central tendency of a set ofn. values computed by ordering the values and taking the value at position(n. + 1) / 2 when n. is odd or the arithmetic mean of the values atpositions n. / 2 and (n. / 2) + 1 when n. is even.'],['Median'],['SPASE Dictionary']
medical science,['The science and art of treating and healing.'],['science -> medical science'],['GEMET']
medicinal plant,['Plants having therapeutic properties.'],['biosphere -> organism -> plant (biology) -> medicinal plant'],['GEMET']
medicine (practice),['The science and art of treating and healing.'],['medicine (practice)'],['GEMET']
mediterranean area,"['The collective islands and countries of the inland sea between Europe, Africa and Asia that is linked to the Atlantic Ocean at its western end by the Strait of Gibraltar and includes the Tyrrhenian, Adriatic, Aegean and Ionian seas.']",['land -> world -> Mediterranean Area'],['GEMET']
mediterranean climate,"['A type of climate characterized by hot, dry, sunny summers and a winter rainy season; basically, this is the opposite of a monsoon climate. Also known as etesian climate.']",['climate -> climate type -> temperate climate -> Mediterranean climate'],['GEMET']
mediterranean forest,['Type of forest found in the Mediterranean area comprising mainly xerophilous evergreen trees.'],['land -> natural area -> terrestrial area -> forest -> temperate forest -> Mediterranean forest'],['GEMET']
mediterranean sea,"['The largest inland sea between Europe, Africa and Asia, linked to the Atlantic Ocean at its western end by the Strait of Gibraltar, including the Tyrrhenian, Adriatic, Aegean and Ionian seas, and major islands such as Sicily, Sardina, Corsica, Crete, Malta and Cyprus.']",['land -> world -> Mediterranean Area -> Mediterranean Sea'],['GEMET']
mediterranean wood,"['A plant formation found in the Mediterranean area comprising mainly lowgrowing, xerophilous evergreen trees and shrubs. It results mainly from the deterioration of the original vegetation by grazing and burning.']",['land -> natural area -> terrestrial area -> forest -> wood -> Mediterranean wood'],['GEMET']
medium earth orbit,[],['Medium Earth Orbit'],['Space Weather Glossary (Second)']
medium frequency,['That portion of the radio frequency spectrum from 0.3 to 3 MHz.'],['medium frequency'],['Space Weather Glossary']
mees_observatory,[],['Mees_Observatory'],['HELIO Ontology']
megacities and urban environment,[],[],['AGU Index Terms']
megatrend,"['a widespread and long-term social, economic, environmental, political or technological change that is slow to form but has a major impact once in place']",['evaluation -> forecast -> trend -> megatrend'],['GEMET']
melanges,[],[],['AGU Index Terms']
melt pond,"['A pond of water on the surface of sea ice, commonly occurring in the Arctic in spring.']","['EARTH SCIENCE -> OCEANS -> SEA ICE -> MELT POND', 'EARTH SCIENCE -> CRYOSPHERE -> SEA ICE -> MELT POND']",['GCMD']
melting,['A change of the state of a substance from the solid phase to the liquid phase. Also known as fusion.'],['physical process -> melting'],['GEMET']
melting layer height,"['Melting layer is the altitude interval throughout which solid-phase precipitation melts as it descends. The melting layer may be several hundred meters deep, reflecting the time it takes for all the hydrometeors to undergo the transition from solid to liquid phase.']",['EARTH SCIENCE -> ATMOSPHERE -> PRECIPITATION -> PRECIPITATION PROFILES -> MELTING LAYER HEIGHT'],['GCMD']
membrane,"['A thin tissue that encloses or lines biological cells, organs, or other structures. It consists of a double layer of lipids with protein molecules between the two layers. Membranes are permeable to water and fat-soluble substances but not to such polar molecules as sugars.']",['biosphere -> anatomy -> tissue -> membrane'],['GEMET']
memory,"['The component of your computer that allowsyou to store and access data on a short-term basis, typically the amount ofRAM. Indicate units with standard byte scales such as KB, MB, GB, TB and PB.']",['Memory'],['SPASE Dictionary']
mental effect,[],['disease -> human disease -> mental effect'],['GEMET']
mental health impacts,"['Mental health refers to the emotional, psychological, and socialwell-being of one or more people. 1 Mental health can be be impactedby exposure to climate related or weather-related disasters. 2 Specificgroups of people are at higher risk for distress and other adversemental health consequences including but not limited to children, theelderly, and people with preexisting mental illness. 3']",['EARTH SCIENCE -> HUMAN DIMENSIONS -> PUBLIC HEALTH -> MENTAL HEALTH IMPACTS'],['GCMD']
merchant shipping,['Transportation of persons and goods by means of ships travelling along fixed navigation routes.'],['traffic -> traffic on water -> navigation -> merchant shipping'],['GEMET']
mercury,"['The first planet from the sun in our solarsystem.', 'A heavy silvery-white toxic liquid metallic element occurring principally in cinnabar: used in thermometers, barometers, mercury-vapour lamps, and dental amalgams.']","['Mercury', 'chemical element -> transition element -> mercury | society -> social process -> development pattern -> transition -> transition element -> mercury']","['SPASE Dictionary', 'AGU Index Terms', 'GEMET']"
mercury contamination,"['The presence and release into the air, water and soil of mercury, a naturally occurring heavy metal element, by both natural occurrences such as vaporization and human activities such as burning coal, mining and smelting.']",['pollution -> contamination -> chemical contamination -> mercury contamination'],['GEMET']
mesoclimate,"['The climate of a natural region of small extent, for example, valley, forest, plantation, and park. Because of subtle differences in elevation and exposure, the climate may not be representative of the general climate of the region.']",['EARTH SCIENCE -> CLIMATE INDICATORS -> REGIONAL CLIMATE LEVELS -> MESOCLIMATE'],['GCMD']
mesopause,"['The top of the mesosphere and the base of the thermosphere. The mesopause is usually located at heights of 85¿95 km, and is the site of the coldest temperatures in the atmosphere. Temperatures as low as 100 K(&#8722; 173¿C) have been measured at the mesopause by rockets.']","['Mesopause', 'EARTH SCIENCE -> ATMOSPHERE -> ALTITUDE -> MESOPAUSE']","['Space Weather Glossary (Second)', 'GCMD']"
mesoscale convective complex,"['(Abbreviated MCC.) A subset of mesoscale convective systems (MCS) that exhibit a large, circular (as observed by satellite), long-lived, cold cloud shield.The cold cloud shield must exhibit the following physical characteristics. Size: A - Cloud shield with continuously low infrared (IR) temperature ≤ -32°C must have an area ≥ 105 km2; and B - Interior cold cloud region with temperature ≤ -52°C must have an area ≥ 0.5 X 105 km2. Initiate: Size definitions A and B are first satisfied Duration: Size definitions A and B must be met for a period ≥ 6 h. Maximum extent: Contiguous cold cloud shield (IR temperature ≤ -33°C) reaches maximum size. Shape: Eccentricity (minor axis/major axis) ≥ 0.7 at time of maximum extent. Terminate: Size definitions A and B no longer satisfied. Alternatively, a dynamical definition of an MCC requires that the system have a Rossby number of order 1 and exhibit a horizontal scale comparable to the Rossby radius of deformation. In midlatitude MCS environments, the Rossby radius of deformation is about 300 km.']",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> CONVECTIVE CLOUDS/SYSTEMS (OBSERVED/ANALYZED) -> MESOSCALE CONVECTIVE COMPLEX'],['GCMD']
mesoscale eddies,"['Ocean mesoscale eddies are the “weather” of the ocean, with typical horizontal scales of less than 100 km and timescales on the order of a month. The mesoscale eddy field includes coherent vortices, as well as a rich cascade of other structures such as filaments, squirts and spirals. The mesoscale field is characterized by temperature and salinity anomalies with associated flow anomalies that are nearly in geostrophic balance. Although only the surface expression of mesoscale eddies is visible in satellite images of sea surface height or temperature, they are in fact three dimensional structures that reach down into the pycnocline. A special class of eddies, known as meddies (Mediterranean eddies), are predominantly sub-surface lenses of salty water that form off the Atlantic coast of Spain/Portugal from the deep Mediterranean outflow.']",['EARTH SCIENCE -> OCEANS -> OCEAN CIRCULATION -> EDDIES -> MESOSCALE EDDIES'],['GCMD']
mesoscale meteorology,[],[],['AGU Index Terms']
mesoscopic fabrics,[],[],['AGU Index Terms']
mesosphere,"['The layer of the atmosphere that extends fromthe Stratosphere to a range of 80 km to 85 km, temperature decreasing withheight.', 'The region of the Earth’s atmosphere between the upper limit of the stratosphere (approximately 30 km altitude) and the lower limit of the thermosphere (approximately 80 km altitude).']","['Mesosphere', 'mesosphere']","['HELIO Ontology', 'SPASE Dictionary', 'Space Weather Glossary', 'Space Weather Glossary (Second)']"
mesospheric clouds (observed/analyzed),"['Also known as noctilucent or “night shining” clouds, form between 76 to 85 kilometers (47 to 53 miles) above the Earth’s surface, near the boundary of the mesosphere and thermosphere, a region known as the mesopause. At these altitudes, water vapor can freeze into clouds of ice crystals. When the Sun is below the horizon and the ground is in darkness, these high clouds may still be illuminated, lending them their ethereal, “night shining” qualities.']",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> MESOSPHERIC CLOUDS (OBSERVED/ANALYZED)'],['GCMD']
mesospheric dynamics,[],[],['AGU Index Terms']
mesozoic,[],[],['AGU Index Terms']
messenger,[],['Messenger'],['HELIO Ontology']
messenger__fips,[],['MESSENGER__FIPS'],['HELIO Ontology']
messenger__mag,[],['MESSENGER__MAG'],['HELIO Ontology']
messenger__xrs,[],['MESSENGER__XRS'],['HELIO Ontology']
metabolism,"['All the chemical reactions that take place in a living organism, comprising both anabolism and catabolism. Basal metabolism is the energy exchange of an animal at rest. Catabolism is the synthesis of complex molecules from simpler ones. Catabolism is the breaking down by organisms of complex molecules into simpler ones with the liberation of energy.']",['biosphere -> biological process -> animal life -> metabolism'],['GEMET']
metabolism of pesticides,"['The sum of chemical reactions, including both synthesis and breakdown, that occurs in substances or mixtures intended to prevent, destroy or mitigate pests that are directly or indirectly detrimental to harvest crops and other humans interests.']",['physicochemical process -> behaviour of substances -> metabolism of pesticides'],['GEMET']
metabolite,['A product of intermediary metabolism.'],['biosphere -> biological process -> animal life -> metabolism -> metabolite'],['GEMET']
metabolomics,['The comprehensive analysis of metabolites in a biological specimen which can provide detailed characterization of metabolic phenotypes.'],['EARTH SCIENCE -> BIOSPHERE -> OMICS -> METABOLOMICS'],['GCMD']
metadata,[],[],['AGU Index Terms']
metadata contact,['An individual who can affect a change in themetadata describing a resource.'],['MetadataContact -> metadata contact'],"['HELIO Ontology', 'SPASE Dictionary']"
metadata handling,"['Refers to tools and best practices that allow for the creation, update, conversion, and discovery of data by means of robust and useful metadata (data about data).']",['EARTH SCIENCE SERVICES -> METADATA HANDLING'],['GCMD']
metadata transformation/conversion,"['Metadata Transformation/Conversion services are defined as Metadata HandlingServices that, in the case of transformation, apply an adjustment function tothe original metadata that alters the absolute values of the metadata (e.g.,interpolation, standardization, anomalies). In the case of conversion, theservice is designed to apply a function to the data that transforms therelative value of the data but not the absolute. <br> Example: DIF to FGDC']",['EARTH SCIENCE SERVICES -> METADATA HANDLING -> METADATA TRANSFORMATION/CONVERSION'],['GCMD']
metadata: provenance,[],[],['AGU Index Terms']
metadata: quality,[],[],['AGU Index Terms']
metagenome,['A collection of genomes from many individuals within an environment and/or sample.'],['EARTH SCIENCE -> BIOSPHERE -> OMICS -> METAGENOME'],['GCMD']
metagenome assembled genomes (ma gs),['MAGs represent a microbial genome by a group of sequences from genome assembly with similar characteristics. It enables researchers to identify novel species and understand their potential functions in a dynamic ecosystem.'],['EARTH SCIENCE -> BIOSPHERE -> OMICS -> METAGENOME -> METAGENOME ASSEMBLED GENOMES (MAGs)'],['GCMD']
metagenomics,"['The analysis of entire DNA and/or RNA sequences isolated and analyzed from all of the organisms in a bulk sample, typically recovered directly from environmental samples. These analyses are typically used to study microbes. There are two types of commonly used metagenomic analysis:Targeted metagenomics. Targeted metagenomics uses certain conserved regions (16s rRNA, 18s rRNA, ITS regions) that are amplified with PCR primers and sequenced. These conserved regions have variable regions that allow for identification of different groups of organisms.Shotgun metagenomics. This method is non-discriminant in that it will sequence all genetic material in an environmental sample.']",['EARTH SCIENCE -> BIOSPHERE -> OMICS -> METAGENOME -> METAGENOMICS'],['GCMD']
metainformation,"['Data assembled to describe or define another body of data, a document or any information element.']",['information -> information processing -> metainformation'],['GEMET']
metal,"['An opaque crystalline material usually of high strength with good electrical and thermal conductivities, ductility and reflectivity.']",['chemical -> metal'],['GEMET']
metal finishing,"['A process in which a chemical or some other substance is applied to metals as a way to clean, protect, alter or modify appearance or physical properties, especially surface properties.']",['industrial process -> metal working -> metal finishing'],['GEMET']
metal oxide,['Any binary compound in which oxygen is combined with one or more metal atoms.'],['chemical -> inorganic substance -> metal oxide'],['GEMET']
metal plating,"['Forming a thin, adherent layer of metal on an object.']",['industrial process -> metal working -> metal plating'],['GEMET']
metal product,[],['product -> industrial product -> metal product'],['GEMET']
metal products industry,"['Industry related with the primary metal processing and fabricated metal products manufacturing. The most important end uses of the products of the metals industries are automobiles, machinery, appliances, electrical equipment, structures, furniture, and containers.']",['industry -> metal products industry'],['GEMET']
metal smelting,['A metallurgical process in which ore mixtures are heated above melting point to extract or yield a crude metal.'],['industrial process -> metal working -> metal smelting'],['GEMET']
metal waste,['Metal material discarded during manufacturing or processing operations which cannot be directly fed back into the operation; Worn or discarded metal materials removed from service at the end of its useful life.'],['waste -> type of waste -> metal waste'],['GEMET']
metal working,[],['industrial process -> metal working'],['GEMET']
metallic mineral,"['Minerals containing metals, such as bauxite, pyrite, etc.']",['lithosphere -> mineral -> metallic mineral'],['GEMET']
metallurgical industry,"['Industry concerned with the extraction, refining, alloying and fabrication of metals.']",['industry -> metallurgical industry'],['GEMET']
metals,"[""Pertaining to the location, mining, production, or uses of the metals or metallic ores found in or on the Earth's Crust.""]",['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METALS'],"['AGU Index Terms', 'GCMD']"
metals age determinations,['An analysis and determination of the age of metals'],['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METALS -> METALS AGE DETERMINATIONS'],['GCMD']
metals physical/optical properties,['The study and analysis of the various physical and optical properties of metals.'],['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METALS -> METALS PHYSICAL/OPTICAL PROPERTIES'],['GCMD']
metals vertical/geographic distribution,['The vertical and geographic distribution of metals within the solid Earth.'],['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METALS -> METALS VERTICAL/GEOGRAPHIC DISTRIBUTION'],['GCMD']
metals/minerals,"['Minerals are solid, naturally occurring inorganic substances that can be found in the earth’s crust. They are formed without the intervention of humans and have a definite chemical composition and crystal structure.Metals are elementary substances, such as gold, silver and copper that are crystalline when solid and naturally occurring in minerals. They often have the characteristics of being good conductors of electricity and heat, of being shiny in appearance and of being malleable.']",['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> WATER QUALITY/WATER CHEMISTRY -> CONTAMINANTS -> METALS/MINERALS'],['GCMD']
metamorphic petrology,[],[],['AGU Index Terms']
metamorphic rock age determinations,['An analysis and determination of the age of metamorphic rocks.'],['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METAMORPHIC ROCKS -> METAMORPHIC ROCK AGE DETERMINATIONS'],['GCMD']
metamorphic rock formation,['The formation of metamorphic rock from pressure and heat.'],['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METAMORPHIC ROCKS -> METAMORPHIC ROCK FORMATION'],['GCMD']
metamorphic rock physical/optical properties,['The study and analysis of the various physical and optical properties of metamorphic rocks.'],['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METAMORPHIC ROCKS -> METAMORPHIC ROCK PHYSICAL/OPTICAL PROPERTIES'],['GCMD']
metamorphic rock vertical/geographic distribution,['The vertical and geographic distribution of metamorphic rocks within the solid Earth.'],['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METAMORPHIC ROCKS -> METAMORPHIC ROCK VERTICAL/GEOGRAPHIC DISTRIBUTION'],['GCMD']
metamorphic rocks,"['Pertaining to the composition, texture, formation, location, extent, etc. of rocks formed through metamorphic processes.']",['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METAMORPHIC ROCKS'],['GCMD']
meteor wind radar,[],['MeteorWindRadar -> meteor wind radar'],['HELIO Ontology']
meteor-trail physics,[],[],['AGU Index Terms']
meteorite age determinations,['An analysis and determination of the age meteorites'],['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METEORITES -> METEORITE AGE DETERMINATIONS'],['GCMD']
meteorite mineralogy and petrology,[],[],['AGU Index Terms']
meteorite origin,['The origin and characteristics of meteorites within the solid Earth.'],['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METEORITES -> METEORITE ORIGIN'],['GCMD']
meteorite physical/optical properties,['The study and analysis of the various physical and optical properties of meteorites.'],['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METEORITES -> METEORITE PHYSICAL/OPTICAL PROPERTIES'],['GCMD']
meteorite vertical/geogrpahic distribution,['The vertical and geographic distribution of meteorites within the Solid Earth'],['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METEORITES -> METEORITE VERTICAL/GEOGRPAHIC DISTRIBUTION'],['GCMD']
meteorites,"['Pertaining to the location, structure, composition, origin, or analysis of meteorites.']",['EARTH SCIENCE -> SOLID EARTH -> ROCKS/MINERALS/CRYSTALS -> METEORITES'],['GCMD']
meteorites and tektites,[],[],['AGU Index Terms']
meteorological disaster,"[""Violent, sudden and destructive change to the environment related to, produced by, or affecting the earth's atmosphere, especially the weather-forming processes.""]",['disaster -> natural disaster -> meteorological disaster'],['GEMET']
meteorological forecasting,"[""A branch of science that studies the dynamics of the atmosphere and the direct effects of the atmosphere upon the Earth's surface, oceans and inhabitants, focusing particularly on weather and weather conditions.""]",['evaluation -> forecast -> meteorological forecasting'],['GEMET']
meteorological hazards mapping,"['Mapping of \u200bhazards caused by short-lived, microscale to mesoscale extreme weather and atmospheric conditions that last from minutes to days. Examples include the mapping of severe storms, blizzards, and extreme heat.']",['EARTH SCIENCE SERVICES -> HAZARDS MANAGEMENT -> HAZARD MAPPING -> METEOROLOGICAL HAZARDS MAPPING'],['GCMD']
meteorological parameter,"['Variables, such as pressure, temperature, wind strength, humidity, etc. from which conclusions as to the forthcoming weather are drawn.']",['parameter -> meteorological parameter'],['GEMET']
meteorological phenomenon,"['Phenomena which occur in the troposphere and stratosphere, such as precipitations, wind, temperature, etc.']",['climate -> meteorological phenomenon'],['GEMET']
meteorological research,"['Study of meteorological elements such as wind speed and direction, air temperature and humidity, atmospheric pressure, precipitation, evaporation, solar radiation, visibility and cloud cover in order to collect data for weather forecast or for specific research purposes.']",['research -> scientific research -> meteorological research'],['GEMET']
meteorology,['The science concerned with the atmosphere and its phenomena.'],['science -> natural science -> atmospheric science -> meteorology'],"['AGU Index Terms', 'GEMET']"
meteors,[],[],['AGU Index Terms']
